%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
94.0, -133629.94892954218, -131504.00745916457, -130750.01606345369, -131619.5659779985, -124803.46856158598, -131109.4544660395, -107835.09705485072, -163121.42170923017, -133717.03132594007, -131679.55806011654, -131842.9716638293, -132478.7223313716, -133128.04050779826, -76161.0211325909, -133006.42466621695, -129254.59495241582, 0.09875, 0.8732500000000001, 0.47150000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070313544E9, 0.0, 2024-04-26 12:01:47.031
96.0, -133620.5388451265, -131504.32038358695, -130744.24931338422, -131610.17824532726, -124795.60074753771, -131099.75380894588, -107836.70638045149, -163122.51694470848, -133763.43354742927, -131726.80964789508, -131890.11149288554, -132525.6833464722, -133174.6885984765, -76173.31459204134, -133053.89977144002, -129302.0700576389, 0.09875, 0.8732500000000001, 0.47150000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714150907031366E9, 0.0, 2024-04-26 12:01:47.031
98.0, -133586.56419355443, -131469.49636572556, -130709.35824028948, -131577.32118097798, -124760.77672967635, -131066.65087540758, -107829.1514908256, -163116.3925667277, -133706.9059857018, -131669.32096115602, -131833.02513754668, -132468.32877019988, -133117.71400185992, -76159.45651047904, -132996.74636086778, -129245.74366161153, 0.09875, 0.8732500000000001, 0.47150000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070313778E9, 0.0, 2024-04-26 12:01:47.031
100.0, -133644.81283960497, -131515.36214534787, -130763.22594442678, -131634.78751597257, -124816.83490477025, -131124.31837610225, -107836.32640079575, -163123.2545522755, -133723.44627659873, -131687.44822590926, -131850.8171261331, -132486.70190414213, -133134.56721717922, -76165.73735067098, -133014.3371837541, -129262.17219378617, 0.099375, 0.870625, 0.46975, 192.0, 1.5, 16.0, 13.5, 16.0, 7.0, 80.0, 0.0, 0.0, 0.0, 1.7141509070313895E9, 0.0, 2024-04-26 12:01:47.031
102.0, -133691.99737215013, -131558.03162551305, -130815.28315726318, -131683.20139446275, -124866.25461176093, -131172.2628679589, -107836.19229032903, -163125.02034008747, -133796.87175713442, -131759.10791863297, -131922.9909089793, -132559.12155617733, -133207.43390410353, -76169.224222806, -133085.7510072888, -129332.87076149831, 0.099375, 0.870625, 0.46975, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070314019E9, 0.0, 2024-04-26 12:01:47.031
104.0, -133634.35222319988, -131522.82762799592, -130757.70506354632, -131624.01397514512, -124808.25183489942, -131113.56718701927, -107838.71803745248, -163127.32256976637, -133768.28387597608, -131731.05647934158, -131894.93946968787, -132529.9301779187, -133178.95778166744, -76171.8840803962, -133060.11355639857, -129309.04380190895, 0.099375, 0.870625, 0.46975, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070314138E9, 0.0, 2024-04-26 12:01:47.031
106.0, -133696.28890708555, -131554.09771848892, -130812.04215431717, -131684.90012704136, -124866.36637048321, -131174.92272554908, -107840.08149386424, -163129.87066863428, -133751.31890193452, -131713.21978726625, -131877.5721642461, -132513.38988702177, -133161.81399367022, -76167.95017337205, -133040.3546143001, -129289.37426678829, 0.099375, 0.870625, 0.46975, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070314257E9, 0.0, 2024-04-26 12:01:47.031
108.0, -133688.64461048183, -131578.5058234341, -130816.46779971932, -131679.51335662763, -124866.05344606083, -131168.77599582387, -107848.53045326835, -163138.18551757163, -133852.3934903614, -131814.3167274376, -131978.57969743965, -132614.26330974858, -133263.02269256386, -76184.22224333552, -133141.98799633837, -129390.06887555945, 0.099375, 0.870625, 0.46975, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070314372E9, 0.0, 2024-04-26 12:01:47.031
110.0, -133724.3179946325, -131586.39598922682, -130842.97696864331, -131714.56089193356, -124897.36824004272, -131204.53878695235, -107849.93861316904, -163140.48774725053, -133793.92132686632, -131756.87274418745, -131920.30869964467, -132556.1934776537, -133204.97521221344, -76180.06481886683, -133083.29231539875, -129331.82022950891, 0.099375, 0.870625, 0.46975, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070314493E9, 0.0, 2024-04-26 12:01:47.031
112.0, -133766.83101258648, -131642.54357129856, -130890.85440526658, -131758.16914536586, -124941.42352836413, -131247.8788194512, -107857.29233709483, -163147.37208454276, -133876.93570577333, -131840.2671027502, -132003.32307855168, -132639.29726353852, -133288.19075682055, -76191.62067075023, -133167.0219501283, -129414.1417043378, 0.098, 0.87, 0.466, 192.0, 1.5, 8.0, 13.5, 24.0, 7.0, 72.0, 0.0, 0.0, 0.0, 1.7141509070314612E9, 0.0, 2024-04-26 12:01:47.031
