%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
16.0, -50914.05521798792, -26087.436209611442, -12675.786039326911, -22127.690568887065, 77430.3767002078, -13389.097260129127, 8331.992725371449, 0.0, -50928.9191280507, -25928.73882397876, -12656.02709722842, -22137.078301558293, 77418.15029599075, -13397.009777666304, 8403.317141928334, 0.0, 0.106, 0.9460000000000001, 0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511715787697E9, 0.0, 2024-04-26 12:06:11.578
18.0, -50935.75876185403, -25859.001381278205, -12611.301256573352, -22118.436946682566, 77431.98602580858, -13382.235274581346, 8391.157792944645, 0.0, -50920.53722387996, -26040.944581144406, -12636.82694874131, -22117.27465597089, 77438.46803170061, -13380.022451880272, 8307.092882048235, 0.0, 0.10400000000000001, 0.9460000000000001, 0.28200000000000003, 192.0, 1.5, 32.0, 14.5, 72.0, 4.0, 104.0, 0.0, 0.0, 0.0, 1.7141511715787926E9, 0.0, 2024-04-26 12:06:11.578
20.0, -50910.81421504191, -26062.625773266052, -12673.41675441465, -22117.006435037427, 77432.23189499759, -13380.894169914029, 8334.69728645054, 0.0, -50930.014363529015, -25897.64754744143, -12644.672411045125, -22124.918952574608, 77432.45541244214, -13387.152658361514, 8407.876897797216, 0.0, 0.10400000000000001, 0.9460000000000001, 0.28200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511715788305E9, 0.0, 2024-04-26 12:06:11.578
22.0, -50932.62951763029, -25879.006192565703, -12615.302218830851, -22117.453469926535, 77420.40782218073, -13379.374251291067, 8411.810804821349, 0.0, -50915.821005799895, -26065.576203534154, -12649.098056447276, -22114.525391402887, 77423.02297628201, -13378.435478023945, 8318.335809509255, 0.0, 0.10400000000000001, 0.9460000000000001, 0.28200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511715788534E9, 0.0, 2024-04-26 12:06:11.578
24.0, -50908.44493012964, -26029.321674027644, -12658.754010051967, -22115.821792581297, 77431.09195603037, -13376.379117534056, 8362.659318764128, 0.0, -50921.051314002434, -25874.915823330382, -12632.088378916786, -22115.888847814662, 77425.36990944982, -13375.909730900496, 8425.33361021681, 0.0, 0.10400000000000001, 0.9460000000000001, 0.28200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714151171578886E9, 0.0, 2024-04-26 12:06:11.578
26.0, -50920.96190702461, -25900.12859107597, -12605.40039603715, -22112.75960359092, 77434.46706944313, -13376.356765789602, 8375.3774613592, 0.0, -50906.232107428565, -26079.277822885255, -12646.996992468476, -22108.065737255307, 77438.84801135636, -13371.685251198442, 8315.519489707887, 0.0, 0.10400000000000001, 0.9460000000000001, 0.28200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511715789125E9, 0.0, 2024-04-26 12:06:11.578
28.0, -50915.28456393297, -25998.342156212588, -12662.710268820558, -22137.123005047204, 77423.89469431576, -13392.114745630592, 8396.835136036294, 0.0, -50923.085322747866, -25852.139395730424, -12621.940686934076, -22128.80815610983, 77425.74988910554, -13388.046728139727, 8429.245165496488, 0.0, 0.10400000000000001, 0.9500000000000001, 0.28600000000000003, 192.0, 1.5, 32.0, 14.5, 88.0, 4.0, 120.0, 0.0, 0.0, 0.0, 1.7141511715789356E9, 0.0, 2024-04-26 12:06:11.578
30.0, -50911.283601675466, -25930.97399842429, -12606.383872793183, -22104.80238256483, 77448.19104053867, -13367.907806385496, 8341.335754553766, 0.0, -50901.40413062622, -26094.38760213704, -12658.262271673952, -22109.540952389354, 77442.11136604684, -13370.299443042213, 8313.93251585156, 0.0, 0.10400000000000001, 0.9500000000000001, 0.28600000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511715789583E9, 0.0, 2024-04-26 12:06:11.578
32.0, -50900.510060848006, -25968.837853531582, -12655.445951872582, -22114.257170469424, 77443.89950560326, -13376.580283234154, 8372.874065980204, 0.0, -50916.9162412782, -25838.817756035063, -12617.045654898366, -22117.252304226437, 77441.99960732456, -13377.854332668107, 8413.867165311238, 0.0, 0.10400000000000001, 0.9500000000000001, 0.28600000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511715789807E9, 0.0, 2024-04-26 12:06:11.578
34.0, -50906.813252784406, -25963.540490095675, -12617.649151998658, -22101.22610345198, 77449.24157252807, -13367.17019881847, 8332.819739916295, 0.0, -50894.94447647864, -26092.800628280715, -12665.861864788756, -22111.038519267862, 77447.8781161163, -13373.36163203259, 8308.590448926741, 0.0, 0.10400000000000001, 0.9500000000000001, 0.28600000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511715790029E9, 0.0, 2024-04-26 12:06:11.579
